## data on insect communities, either initial or final_				
## experimentally homogenized communities are in				
##      homogenized_communities_txt				
## variables:				
## sampling =  'initial' --  observed from wild plants in the				
## field_  Or 'final', meaning after 12 days in experiment_				
## or 'homogenized', meaning the starting  community for the block				
## bromeliad = unique code for each plant OR the experimental block in which six plants were placed				
## spp = species name for each macroinvertebrate				
## abundance = number of macroinverts found				
sampling	bromeliad	spp	abundance	
final	V2	scirtid	1	
final	V2	ephydridae	30	
final	V2	ceratopogonid	2	
final	V2	culicid	2	
final	V2	atrichopogon	1	
final	V2	Chiro	3	
final	A16	oligo	26	
final	A16	culicid	1	
final	A16	tipulidae	1	
final	A16	Chiro	2	
final	A16	forcipomyia	37	
final	A16	scirtid	3	
final	A14	oligo	17	
final	A14	Chiro	1	
final	A14	Tabanid	1	
final	A14	tipulidae	1	
final	A14	forcipomyia	2	
final	A14	ostra	1	
final	N12	ceratopogonid	3	
final	N12	scirtid	80	
final	N12	oligo	94	
final	N12	tipulidae	3	
final	N12	atrichopogon	1	
final	N12	forcipomyia	1	
final	N12	Leptagrion	1	
final	N13	corethrella	1	#lost
final	N13	monopelopia	1	
final	N13	scirtid	10	
final	N13	oligo	36	
final	N13	forcipomyia	1	
final	N13	leptagrion	1	
final	N13	culicid	1	
final	V1	oligo	25	
final	V1	forcipomyia	33	
final	V1	scirtid	4	
final	V1	ceratopogonid	1	
final	V1	Chiro	9	
final	V1	ostra	3	
final	V1	ephydridae	28	
final	V1	leptagrion	2	
final	V1	monopelopia	1	
final	V7	ostra	53	
final	V7	Chiro	18	
final	V7	oligo	8	
final	V7	scirtid	4	
final	V7	forcipomyia	3	
final	V7	leptagrion	1	
homogenized	pilot10	oligo	10	
homogenized	pilot10	scirtid	4	
homogenized	pilot10	tipulidae	2	
homogenized	pilot10	Chiro	2	
homogenized	pilot10	culex	2	
homogenized	pilot10	ostra	1	
homogenized	pilot20	oligo	20	
homogenized	pilot20	scirtid	8	
homogenized	pilot20	tipulidae	4	
homogenized	pilot20	Chiro	4	
homogenized	pilot20	culicid	4	
homogenized	pilot20	ostra	2	
homogenized	Baker	Chiro	2	
homogenized	Baker	ostra	16	
homogenized	Baker	oligo	38	
homogenized	Baker	leptagrion	1	
homogenized	Baker	forcipomyia	6	
homogenized	Baker	culicid	2	
homogenized	Baker	corethrella	1	
homogenized	Baker	scirtid	2	
homogenized	Davidson	Chiro	6	
homogenized	Davidson	ostra	31	
homogenized	Davidson	oligo	19	
homogenized	Davidson	leptagrion	1	#down from 2 because that was impossible
homogenized	Davidson	forcipomyia	5	
homogenized	Davidson	culicid	7	
homogenized	Davidson	corethrella	1	
homogenized	Davidson	scirtid	6	
homogenized	Eccleson	Chiro	4	
homogenized	Eccleson	ostra	15	
homogenized	Eccleson	oligo	21	
homogenized	Eccleson	leptagrion	1	
homogenized	Eccleson	forcipomyia	6	
homogenized	Eccleson	culicid	6	
homogenized	Eccleson	corethrella	1	
homogenized	Eccleson	scirtid	10	
homogenized	Tennant	Chiro	1	
homogenized	Tennant	ostra	7	
homogenized	Tennant	oligo	16	
homogenized	Tennant	forcipomyia	4	
homogenized	Tennant	culicid	6	
homogenized	Tennant	scirtid	3	
homogenized	Tennant	tipulidae	1	
homogenized	Smith	Chiro	2	
homogenized	Smith	ostra	0	
homogenized	Smith	oligo	12	
homogenized	Smith	forcipomyia	5	
homogenized	Smith	culicid	3	
homogenized	Smith	scirtid	4	
homogenized	Smith	tipulidae	1	
homogenized	Smith	leptagrion	1	
initial	N21	oligo	18	
initial	N21	tipulidae	6	
initial	N21	culicid	15	
initial	N21	corethrella	6	
initial	N21	scirtid	2	
initial	N21	Leptagrion	1	
initial	N21	small_Leptagrion	1	
initial	N21	Chiro	3	
initial	N25	Leptagrion	5	
initial	N25	culicid	2	
initial	N25	oligo	27	
initial	N25	tipulidae	1	
initial	N25	Chiro	1	
initial	N23	oligo	106	
initial	N23	culicid	5	
initial	N23	forcipomyia	8	
initial	N23	ceratopogonid	5	
initial	N23	corethrella	2	
initial	N23	psychodid	1	
initial	N23	Leptagrion	1	
initial	N22	culicid	29	
initial	N22	scirtid	10	
initial	N22	Chiro	6	
initial	N22	tipulidae	3	
initial	N22	Tabanid	1	
initial	N24	culicid	16	
initial	N24	oligo	133	
initial	N24	Chiro	18	
initial	N24	corethrella	14	
initial	N24	forcipomyia	14	
initial	N24	Leptagrion	1	
initial	N27	oligo	327	
initial	N27	scirtid	24	
initial	N27	tipulidae	3	
initial	N27	culicid	37	
initial	N27	small_Leptagrion	3	
initial	N27	Chiro	6	
initial	N27	monopelopia	4	
initial	N27	corethrella	2	
initial	N27	leptagrion	3	
initial	N31	ostra	21	
initial	N31	Leptagrion	1	
initial	N31	oligo	27	
initial	N31	forcipomyia	1	
initial	N31	culicid	14	
initial	N31	tipulidae	3	
initial	N31	corethrella	1	
initial	N29	ostra	9	
initial	N29	culicid	14	
initial	N29	corethrella	2	
initial	N29	oligo	166	
initial	N29	tipulidae	3	
initial	N29	Chiro	3	
initial	N29	scirtid	1	
initial	N29	monopelopia	1	
initial	N26	culicid	20	
initial	N26	monopelopia	1	
initial	N26	Chiro	1	
initial	N26	oligo	15	
initial	N26	corethrella	1	
initial	N30	oligo	103	
initial	N30	culicid	17	
initial	N30	corethrella	1	
initial	N30	scirtid	1	
initial	N30	Leptagrion	2	
initial	N30	tipulidae	3	
initial	N30	Chiro	3	
initial	N28	culicid	22	
initial	N28	small_Leptagrion	1	
initial	N28	scirtid	19	
initial	N28	Chiro	2	
initial	N28	tipulidae	2	
initial	N28	corethrella	1	
initial	N35	oligo	118	
initial	N35	culicid	12	
initial	N35	corethrella	3	
initial	N35	scirtid	12	
initial	N35	Chiro	28	
initial	N35	ostra	1	
initial	N35	forcipomyia	2	
initial	N35	Leptagrion	1	
initial	N35	tipulidae	1	
initial	N35	small_Leptagrion	2	
initial	N33	oligo	40	
initial	N33	culicid	30	
initial	N33	tipulidae	3	
initial	N33	corethrella	6	
initial	N33	psychodid	3	
initial	N33	small_Leptagrion	1	
initial	N33	lampyridae	1	
initial	N33	scirtid	5	
initial	N33	Leptagrion	1	
initial	N33	Chiro	2	
initial	N32	ceratopogonid	1	
initial	N32	scirtid	1	
initial	N32	culicid	13	
initial	N32	corethrella	2	
initial	N32	Chiro	3	
initial	N32	oligo	61	
initial	N32	small_Leptagrion	1	
initial	N32	Leptagrion	2	
initial	N32	psychodid	2	
initial	N32	ostra	1	
initial	N39	oligo	50	
initial	N39	culicid	46	
initial	N39	corethrella	3	
initial	N39	small_Leptagrion	2	
initial	N39	forcipomyia	3	
initial	N39	Leptagrion	1	
initial	N39	scirtid	3	
initial	N39	Chiro	3	
initial	N39	tipulidae	1	
initial	N34	Chiro	1	
initial	N34	culicid	35	
initial	N34	oligo	51	
initial	N34	corethrella	2	
initial	N34	small_Leptagrion	2	
initial	N34	tipulidae	1	
initial	N34	lampyridae	1	
initial	N34	scirtid	1	
initial	N34	Leptagrion	4	
initial	N37	tipulidae	2	
initial	N37	monopelopia	1	
initial	N37	Leptagrion	3	
initial	N37	culicid	61	
initial	N37	corethrella	3	
initial	N37	Chiro	20	
initial	N37	small_Leptagrion	2	
initial	N37	oligo	54	
initial	N37	scirtid	6	
initial	N37	lampyridae	2	
initial	N36	oligo	55	
initial	N36	Chiro	4	
initial	N36	culicid	17	
initial	N36	small_Leptagrion	1	
initial	N36	monopelopia	1	
initial	N36	ceratopogonid	1	
initial	N38	culicid	95	
initial	N38	oligo	42	
initial	N38	scirtid	12	
initial	N38	tipulidae	18	
initial	N38	Leptagrion	2	
initial	N38	Chiro	9	
initial	N38	small_Leptagrion	2	
initial	N38	corethrella	1	
initial	N40	culicid	29	
initial	N40	corethrella	2	
initial	N40	monopelopia	10	
initial	N40	scirtid	30	
initial	N40	oligo	2	
initial	N40	Chiro	10	
initial	N40	tipulidae	1	
initial	N40	Lepidoptera	1	
initial	N40	tabanid	1	
initial	N40	psychodid	1	
initial	N43	oligo	400	
initial	N43	culicid	50	
initial	N43	corethrella	4	
initial	N43	forcipomyia	1	
initial	N43	monopelopia	1	
initial	N43	small_Leptagrion	6	
initial	N43	scirtid	14	
initial	N43	tipulidae	2	
initial	N43	ostra	1	
initial	N43	Chiro	14	
initial	N43	Leptagrion	6	
initial	N43	Lampyridae	1	
initial	N42	culicid	41	
initial	N42	oligo	23	
initial	N42	corethrella	2	
initial	N42	monopelopia	1	
initial	N42	scirtid	26	
initial	N42	Chiro	3	
initial	N42	ostra	4	
initial	N42	tabanid	1	
initial	N42	Leptagrion	1	
initial	N41	oligo	63	
initial	N41	culicid	4	
initial	N41	corethrella	1	
initial	N41	Chiro	7	
initial	N41	psychodid	1	
initial	N41	ostra	5	
initial	N41	small_Leptagrion	3	
initial	N41	Leptagrion	4	
initial	N41	scirtid	1	
initial	N44	culicid	86	
initial	N44	oligo	254	
initial	N44	mono	1	
initial	N44	scirtid	193	
initial	N44	tipulidae	20	
initial	N44	Chiro	5	
initial	N44	tabanid	1	
initial	N45	oligo	278	
initial	N45	culicid	56	
initial	N45	Chiro	47	
initial	N45	large_culicid	1	
initial	N45	corethrella	5	
initial	N45	scirtid	9	
initial	N45	psychodid	2	
initial	N45	forcipomyia	16	
initial	N45	small_Leptagrion	5	
initial	N45	ostra	2	
initial	N45	Leptagrion	2	
initial	N46	culicid	66	
initial	N46	corethrella	6	
initial	N46	Leptagrion	1	
initial	N46	Chiro	40	
initial	N46	oligo	47	
initial	N46	tipulidae	4	
initial	N46	scirtid	9	
initial	N46	small_Leptagrion	3	
initial	N46	ostra	1	
initial	N47	culicid	40	
initial	N47	oligo	136	
initial	N47	corethrella	17	
initial	N47	forcipomyia	2	
initial	N47	Chiro	8	
initial	N47	monopelopia	1	
initial	N47	Leptagrion	2	
initial	N47	scirtid	1	
initial	N47	small_Leptagrion	4	
initial	N47	psychodid	1	
initial	N47	ceratopogonid	1	
initial	N51	oligo	316	
initial	N51	culicid	29	
initial	N51	corethrella	1	
initial	N51	scirtid	5	
initial	N51	Lampyridae	2	
initial	N51	tipulidae	2	
initial	N51	Chiro	5	
initial	N51	Leptagrion	1	
initial	N51	small_Leptagrion	1	
initial	N51	forcipomyia	2	
initial	N51	psychodid	2	
initial	N52	oligo	455	
initial	N52	forcipomyia	5	
initial	N52	Chiro	18	
initial	N52	culicid	20	
initial	N52	scirtid	14	
initial	N52	corethrella	5	
initial	N52	psychodid	1	
initial	N49	culicid	29	
initial	N49	ceratopogonid	1	
initial	N49	corethrella	3	
initial	N49	small_Leptagrion	1	
initial	N49	Chiro	11	
initial	N49	oligo	75	
initial	N49	monopelopia	1	
initial	N49	scirtid	19	
initial	N49	tipulidae	2	
initial	N49	tabanid	1	
initial	N50	oligo	371	
initial	N50	Chiro	32	
initial	N50	psychodid	2	
initial	N50	culicid	7	
initial	N50	Leptagrion	5	
initial	N50	tipulidae	1	
initial	N50	scirtid	1	
initial	N48	oligo	2	
initial	N48	scirtid	11	
initial	N48	culicid	9	
initial	N48	tipulidae	2	
initial	N48	Chiro	5	
initial	N48	corethrella	1	
initial	N20	Leptagrion	7	
initial	N20	culicid	6	
initial	N20	oligo	16	
initial	N20	tipulidae	3	
initial	N20	corethrella	1	
initial	N20	scirtid	5	
initial	N20	elpidium	1	
initial	N20	Chiro	2	
