## Sp = code name for species / morphospecies,,,,,,,,
## sp.number = a code for the individual within the trial,,,,,,,,
## individual name = a concatenation of the previous two columns, which identifies the individual **within each trial**,,,,,,,,
## trial.name = code from the "trials" dataframe, which matches the trial to information such as the date, temperature etc,,,,,,,,
## Body = length of body (mm).  Present for all individuals,,,,,,,,
## tail = length of tail (mm).  Lept only,,,,,,,,
## date.capture = when did we catch the animal?,,,,,,,,
## time.of.death = how many minutes into the trial the animal finally died.  ,,,,,,,,
## trial.time = a concatenation of "trial.name"."time.of.death"  which gives the time of death within the trial. Used for matching within 'temperatures' to get the temp.,,,,,,,,
Sp,sp.number,individual.name,trial.name,body,tail,date.capture,time.of.death,trial.time
chironomus,2,chironomus.2,chiro.21.mar,7.09,,,24,chiro.21.mar.24
chironomus,3,chironomus.3,chiro.21.mar,6.31,,,23,chiro.21.mar.23
chironomus,4,chironomus.4,chiro.21.mar,5.86,,,18,chiro.21.mar.18
chironomus,5,chironomus.5,chiro.21.mar,4.41,,,25,chiro.21.mar.25
chironomus,6,chironomus.6,chiro.21.mar,6.54,,,24,chiro.21.mar.24
chironomus,7,chironomus.7,chiro.21.mar,5.12,,,18,chiro.21.mar.18
chironomus,8,chironomus.8,chiro.21.mar,4.52,,,21,chiro.21.mar.21
chironomus,9,chironomus.9,chiro.21.mar,3.17,,,24,chiro.21.mar.24
chironomus,10,chironomus.10,chiro.21.mar,5.69,,,21,chiro.21.mar.21
polypedium sp.2,1,polypedium sp.2.1,poly2.22.mar,5.05,,,27,poly2.22.mar.27
polypedium sp.2,2,polypedium sp.2.2,poly2.22.mar,2.44,,,22,poly2.22.mar.22
polypedium sp.2,3,polypedium sp.2.3,poly2.22.mar,3.69,,,22,poly2.22.mar.22
polypedium sp.2,4,polypedium sp.2.4,poly2.22.mar,5.6,,,23,poly2.22.mar.23
polypedium sp.2,5,polypedium sp.2.5,poly2.22.mar,3.86,,,27,poly2.22.mar.27
polypedium sp.2,6,polypedium sp.2.6,poly2.22.mar,6.91,,,24,poly2.22.mar.24
polypedium sp.2,7,polypedium sp.2.7,poly2.22.mar,6.01,,,24,poly2.22.mar.24
polypedium sp.2,8,polypedium sp.2.8,poly2.22.mar,6.12,,,25,poly2.22.mar.25
polypedium sp.2,9,polypedium sp.2.9,poly2.22.mar,5.2,,,25,poly2.22.mar.25
polypedium sp.2,10,polypedium sp.2.10,poly2.22.mar,4.16,,,18,poly2.22.mar.18
polypedium sp.1,1,polypedium sp.1.1,poly1.30.mar,4.42,,,23,poly1.30.mar.23
polypedium sp.1,2,polypedium sp.1.2,poly1.30.mar,4.05,,,23,poly1.30.mar.23
polypedium sp.1,3,polypedium sp.1.3,poly1.30.mar,2.79,,,23,poly1.30.mar.23
polypedium sp.1,4,polypedium sp.1.4,poly1.30.mar,5.27,,,21,poly1.30.mar.21
polypedium sp.1,5,polypedium sp.1.5,poly1.30.mar,3.92,,,21,poly1.30.mar.21
polypedium sp.1,6,polypedium sp.1.6,poly1.30.mar,5.2,,,21,poly1.30.mar.21
polypedium sp.1,7,polypedium sp.1.7,poly1.30.mar,5.79,,,21,poly1.30.mar.21
polypedium sp.1,8,polypedium sp.1.8,poly1.30.mar,3.42,,,21,poly1.30.mar.21
polypedium sp.1,9,polypedium sp.1.9,poly1.30.mar,5,,,23,poly1.30.mar.23
polypedium sp.1,10,polypedium sp.1.10,poly1.30.mar,4.78,,,23,poly1.30.mar.23
leech,1,leech.1,leech.31.mar,12.73,,27-Feb-2012,44,leech.31.mar.44
leech,2,leech.2,leech.31.mar,11.16,,27-Feb-2012,44,leech.31.mar.44
leech,3,leech.3,leech.31.mar,14.63,,27-Feb-2012,44,leech.31.mar.44
leech,4,leech.4,leech.31.mar,11.89,,27-Feb-2012,42,leech.31.mar.42
leech,5,leech.5,leech.31.mar,11.61,,27-Feb-2012,42,leech.31.mar.42
leech,6,leech.6,leech.31.mar,14.17,,27-Feb-2012,42,leech.31.mar.42
leech,7,leech.7,leech.31.mar,10.44,,27-Feb-2012,44,leech.31.mar.44
leech,8,leech.8,leech.31.mar,7.05,,27-Feb-2012,42,leech.31.mar.42
leech,9,leech.9,leech.31.mar,12.53,,27-Feb-2012,42,leech.31.mar.42
leech,10,leech.10,leech.31.mar,11.68,,27-Feb-2012,42,leech.31.mar.42
leech,11,leech.11,leech.01.apr,14.2,,03-Mar-2012,18,leech.01.apr.18
leech,12,leech.12,leech.01.apr,14.53,,03-Mar-2012,23,leech.01.apr.23
leech,13,leech.13,leech.01.apr,10.56,,03-Mar-2012,21,leech.01.apr.21
leech,14,leech.14,leech.01.apr,13.78,,03-Mar-2012,23,leech.01.apr.23
leech,15,leech.15,leech.01.apr,12.76,,03-Mar-2012,18,leech.01.apr.18
leech,16,leech.16,leech.01.apr,14.27,,03-Mar-2012,22,leech.01.apr.22
leech,17,leech.17,leech.01.apr,9.5,,03-Mar-2012,18,leech.01.apr.18
leech,18,leech.18,leech.01.apr,13.57,,03-Mar-2012,22,leech.01.apr.22
